date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:15:17	232048/232048	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20May%202022%2015:15:17%20GMT	https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/hive/HiveTableScans.html	C:/g/httrack/spark-sql-hive/Spark-Sql-Internals/jaceklaskowski.gitbooks.io/mastering-spark-sql/content/hive/HiveTableScans.html	(from https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/)
11:15:18	3819/3819	---MC-	503	error ('Service%20Temporarily%20Unavailable')	text/html	date:Mon,%2023%20May%202022%2015:15:18%20GMT	https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/hive/HiveTableScanExec.html	C:/g/httrack/spark-sql-hive/Spark-Sql-Internals/jaceklaskowski.gitbooks.io/mastering-spark-sql/content/hive/HiveTableScanExec.html	(from https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/)
11:15:18	3819/3819	---MC-	503	error ('Service%20Temporarily%20Unavailable')	text/html	date:Mon,%2023%20May%202022%2015:15:18%20GMT	https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/hive/TableReader.html	C:/g/httrack/spark-sql-hive/Spark-Sql-Internals/jaceklaskowski.gitbooks.io/mastering-spark-sql/content/hive/TableReader.html	(from https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/)
11:15:19	3819/3819	---MC-	503	error ('Service%20Temporarily%20Unavailable')	text/html	date:Mon,%2023%20May%202022%2015:15:19%20GMT	https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/hive/HadoopTableReader.html	C:/g/httrack/spark-sql-hive/Spark-Sql-Internals/jaceklaskowski.gitbooks.io/mastering-spark-sql/content/hive/HadoopTableReader.html	(from https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/)
11:15:19	3819/3819	---MC-	503	error ('Service%20Temporarily%20Unavailable')	text/html	date:Mon,%2023%20May%202022%2015:15:19%20GMT	https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/hive/HiveSessionStateBuilder.html	C:/g/httrack/spark-sql-hive/Spark-Sql-Internals/jaceklaskowski.gitbooks.io/mastering-spark-sql/content/hive/HiveSessionStateBuilder.html	(from https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/)
11:15:19	3819/3819	---MC-	503	error ('Service%20Temporarily%20Unavailable')	text/html	date:Mon,%2023%20May%202022%2015:15:19%20GMT	https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/hive/HiveExternalCatalog.html	C:/g/httrack/spark-sql-hive/Spark-Sql-Internals/jaceklaskowski.gitbooks.io/mastering-spark-sql/content/hive/HiveExternalCatalog.html	(from https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/)
11:15:20	3819/3819	---MC-	503	error ('Service%20Temporarily%20Unavailable')	text/html	date:Mon,%2023%20May%202022%2015:15:20%20GMT	https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/hive/HiveSessionCatalog.html	C:/g/httrack/spark-sql-hive/Spark-Sql-Internals/jaceklaskowski.gitbooks.io/mastering-spark-sql/content/hive/HiveSessionCatalog.html	(from https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/)
11:15:20	3819/3819	---MC-	503	error ('Service%20Temporarily%20Unavailable')	text/html	date:Mon,%2023%20May%202022%2015:15:20%20GMT	https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/hive/HiveMetastoreCatalog.html	C:/g/httrack/spark-sql-hive/Spark-Sql-Internals/jaceklaskowski.gitbooks.io/mastering-spark-sql/content/hive/HiveMetastoreCatalog.html	(from https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/)
11:15:20	3819/3819	---MC-	503	error ('Service%20Temporarily%20Unavailable')	text/html	date:Mon,%2023%20May%202022%2015:15:20%20GMT	https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/hive/RelationConversions.html	C:/g/httrack/spark-sql-hive/Spark-Sql-Internals/jaceklaskowski.gitbooks.io/mastering-spark-sql/content/hive/RelationConversions.html	(from https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/)
11:15:21	3819/3819	---MC-	503	error ('Service%20Temporarily%20Unavailable')	text/html	date:Mon,%2023%20May%202022%2015:15:21%20GMT	https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/hive/ResolveHiveSerdeTable.html	C:/g/httrack/spark-sql-hive/Spark-Sql-Internals/jaceklaskowski.gitbooks.io/mastering-spark-sql/content/hive/ResolveHiveSerdeTable.html	(from https://jaceklaskowski.gitbooks.io/mastering-spark-sql/content/)
